562047,B1-1526416,1069.39
538508,B1-1526429,291.5
542152,B1-1526435,80.5
510093,B1-1526401,67.87
541306,B1-1526423,80.5
562622,B1-1526422,92
541661,B1-1526434,80.5
561063,B1-1526433,616.38
503759,B1-1526402,49.45
521456,B1-1526408,150.75
549097,B1-1526424,503.79
535924,B1-1526428,230
549051,B1-1526425,149.99
550976,B1-1526421,322.25
540711,B1-1526437,162.37
533953,B1-1526418,192.5
542151,B1-1526436,80.5
562008,B1-1526413,203.49
535920,B1-1526427,76.7
544783,B1-1526406,85
536664,B1-1526410,612.9
562199,B1-1526419,184.44
551113,B1-1526404,75
551502,B1-1526414,342.36
562199,B1-1526412,115.16
561341,B1-1526430,365.57
549373,B1-1526426,122
550186,B1-1526431,80.5
562922,B1-1526417,61.72
562928,B1-1526411,81.13
562007,B1-1526415,69
562991,B1-1526432,51.14
